seed,split,sample_idx,controller_step_expected,chosen_step,oracle_step,required_hops,oracle_depth
3,val,0,5.005489349365234,5.0,5.0,5,4
3,val,1,8.072421073913574,8.0,16.0,9,2
3,val,2,4.9875593185424805,5.0,4.0,5,4
3,val,3,7.407875061035156,7.0,16.0,9,8
3,val,4,5.000531196594238,5.0,4.0,7,6
3,val,5,7.976373672485352,8.0,16.0,9,8
3,val,6,5.00034236907959,5.0,4.0,5,4
3,val,7,7.994272232055664,8.0,16.0,9,8
3,val,8,6.001289367675781,6.0,5.0,7,2
3,val,9,9.121552467346191,9.0,4.0,9,8
3,val,10,9.666560173034668,10.0,8.0,9,8
3,val,11,5.667747497558594,6.0,5.0,7,6
3,val,12,7.662984848022461,8.0,9.0,9,8
3,val,13,4.981089115142822,5.0,4.0,5,4
3,val,14,5.959893226623535,6.0,5.0,7,6
3,val,15,5.020040988922119,5.0,5.0,7,6
3,val,16,5.139694690704346,5.0,5.0,7,2
3,val,17,9.0087308883667,9.0,3.0,9,2
3,val,18,5.001195907592773,5.0,4.0,5,4
3,val,19,5.005051136016846,5.0,5.0,7,2
3,val,20,8.227038383483887,8.0,16.0,9,8
3,val,21,5.0006489753723145,5.0,4.0,5,4
3,val,22,5.166767120361328,5.0,5.0,7,2
3,val,23,5.000063896179199,5.0,4.0,7,6
3,val,24,7.961092948913574,8.0,16.0,9,8
3,val,25,8.023063659667969,8.0,16.0,9,2
3,val,26,5.05669641494751,5.0,5.0,7,2
3,val,27,5.735978603363037,6.0,5.0,5,4
3,val,28,4.005373477935791,4.0,3.0,5,2
3,val,29,5.002967834472656,5.0,5.0,8,2
3,val,30,5.002543926239014,5.0,5.0,5,4
3,val,31,8.006142616271973,8.0,7.0,9,8
3,val,32,5.000299453735352,5.0,4.0,5,4
3,val,33,5.001658916473389,5.0,4.0,7,6
3,val,34,4.999121189117432,5.0,4.0,7,6
3,val,35,8.01725959777832,8.0,3.0,9,8
3,val,36,8.010273933410645,8.0,16.0,9,8
3,val,37,5.003927707672119,5.0,5.0,7,6
3,val,38,5.0923542976379395,5.0,5.0,7,6
3,val,39,5.944134712219238,6.0,5.0,7,6
3,val,40,8.020671844482422,8.0,4.0,9,8
3,val,41,7.955611705780029,8.0,2.0,9,8
3,val,42,5.000736713409424,5.0,4.0,7,6
3,val,43,4.9996843338012695,5.0,4.0,5,4
3,val,44,5.7401442527771,6.0,5.0,7,6
3,val,45,7.989993572235107,8.0,16.0,9,2
3,val,46,4.998039722442627,5.0,4.0,5,4
3,val,47,8.625060081481934,9.0,16.0,9,8
3,val,48,5.000140190124512,5.0,4.0,7,2
3,val,49,4.989067077636719,5.0,4.0,7,6
3,val,50,5.005420207977295,5.0,5.0,7,6
3,val,51,4.895876884460449,5.0,4.0,5,4
3,val,52,5.314300060272217,5.0,5.0,5,4
3,val,53,5.00079870223999,5.0,4.0,5,4
3,val,54,5.001916408538818,5.0,4.0,5,4
3,val,55,8.93870735168457,9.0,16.0,9,8
3,val,56,7.9263105392456055,8.0,16.0,9,8
3,val,57,8.631302833557129,9.0,14.0,9,8
3,val,58,5.451626777648926,5.0,5.0,7,6
3,val,59,7.9817328453063965,8.0,16.0,9,2
3,val,60,5.0110063552856445,5.0,5.0,7,6
3,val,61,4.9970574378967285,5.0,4.0,5,4
3,val,62,8.022107124328613,8.0,16.0,9,2
3,val,63,8.154521942138672,8.0,3.0,9,8
3,val,64,5.278374671936035,5.0,5.0,7,6
3,val,65,7.894538879394531,8.0,16.0,9,8
3,val,66,8.896471977233887,9.0,16.0,9,2
3,val,67,9.015216827392578,9.0,16.0,9,8
3,val,68,7.019611358642578,7.0,16.0,9,8
3,val,69,7.869162559509277,8.0,16.0,9,8
3,val,70,4.985705852508545,5.0,4.0,5,4
3,val,71,5.001157283782959,5.0,5.0,7,6
3,val,72,4.995781421661377,5.0,4.0,5,4
3,val,73,5.023499488830566,5.0,5.0,7,6
3,val,74,5.005480766296387,5.0,5.0,7,6
3,val,75,5.00179386138916,5.0,5.0,7,6
3,val,76,4.0144877433776855,4.0,3.0,7,6
3,val,77,9.024836540222168,9.0,7.0,9,8
3,val,78,8.017321586608887,8.0,16.0,9,2
3,val,79,9.030484199523926,9.0,4.0,9,8
3,val,80,5.005147457122803,5.0,5.0,7,6
3,val,81,5.0026679039001465,5.0,5.0,6,2
3,val,82,5.001438617706299,5.0,5.0,7,6
3,val,83,8.948095321655273,9.0,5.0,9,8
3,val,84,5.012984752655029,5.0,4.0,5,4
3,val,85,8.116559028625488,8.0,16.0,9,8
3,val,86,7.721075057983398,8.0,3.0,9,8
3,val,87,7.783227920532227,8.0,5.0,9,8
3,val,88,7.795751094818115,8.0,16.0,9,2
